date,low,high,open,close,volume
2013-01-24,450.25,465.73,460.0,450.5,52156196
2013-01-25,435.0,456.23,451.69,439.88,43129305
2013-04-24,392.5,415.25,393.54,405.462,34633970
2013-04-17,398.11,420.6,420.27,402.8,33743681
2013-08-13,468.05,494.66,470.94,489.57,31464522
2013-01-15,483.38,498.99,498.3,485.92,31286377
2013-01-23,504.77,514.99,508.81,514.005,30662499
2013-01-28,435.86,453.21,437.825,449.83,28034252
2013-04-26,408.25,418.769,409.81,417.205,27292151
2013-08-14,493.4,504.25,497.88,498.5,27001430
2013-05-15,422.36,441.0,439.16,428.85,26482092
2013-01-14,498.51,507.5,502.68,501.75,26209024
2013-02-07,454.12,470.0,463.25,468.22,25149986
2013-04-30,432.07,445.25,435.1,442.78,24688388
2013-01-16,492.5,509.44,494.64,506.09,24656782
2013-04-18,389.74199999999996,405.79,404.99,392.05,23790136
2013-04-23,398.81,408.381,403.99,406.13,23622553
2013-03-15,437.25,444.23,437.93,443.66,22983530
2013-04-29,420.0,433.61699999999996,420.45,430.12,22863169
2013-03-05,420.75,435.19,421.48,431.144,22789950
2013-02-08,468.25,478.81,474.0,474.98,22602527
2013-04-19,385.1,399.6,387.97,390.53,21750858
2013-02-12,467.744,482.38,479.51,467.9,21725895
2013-03-18,441.2,457.46,441.45,455.72,21640845
2013-05-16,418.9,437.85,423.24,434.57800000000003,21549236
2013-01-10,515.52,528.72,528.55,523.51,21456417
2013-01-04,525.8286,538.6299,536.965,527.0,21217652
2013-02-06,452.58,466.5,456.47,457.35,21193914
2013-07-24,435.26,444.59,438.93,440.51,21141812
2013-02-27,440.65,452.44,448.43,444.57,20971644
2013-03-04,419.0,428.1999,427.8,420.05,20783831
2013-06-28,388.87,400.27,391.36,396.53,20662882
2013-02-05,442.22,459.74,444.05,457.844,20469873
2013-01-29,452.12,460.2,458.5,458.27,20390547
2013-01-02,541.63,555.0,553.82,549.03,20009365
2013-03-01,429.98,438.1799,438.0,430.47,19723140
2013-02-01,448.35,459.48,459.11,453.62,19261446
2013-04-02,426.4,438.14,427.6,429.792,18916030
2013-03-19,448.5,460.97,459.5,454.49,18799084
2013-02-11,473.25,484.94,476.5,479.93,18472386
2013-08-19,504.0,513.74,504.34,507.74,18225682
2013-05-01,434.39,444.93,444.46,439.29,18107776
2013-02-26,437.66,451.54,443.82,448.97,17896123
2013-03-25,461.78,469.95,464.69,463.58,17882727
2013-05-06,454.31,462.2,455.71,460.71,17729925
2013-08-15,489.0833,502.399,496.42,497.91,17505078
2013-01-07,515.2,529.3,522.0,523.9,17278449
2013-05-07,453.7,465.75,464.97,458.658,17266127
2013-06-21,408.1001,420.0,418.49,413.5,17185434
2013-06-24,398.05,408.66,407.4,402.54,17165713
2013-02-04,442.0,455.94,453.91,442.316,17034614
